2021-03-14 15:40:01.591 [main] INFO  calculator.Calculator - [SQ ROOT] - 3.0
2021-03-14 15:40:01.595 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2021-03-14 15:40:01.596 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2021-03-14 15:40:01.596 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2021-03-14 15:40:01.597 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2021-03-14 15:40:01.597 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2021-03-14 15:40:01.597 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2021-03-14 15:40:01.598 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2021-03-14 15:40:01.599 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 2.0
2021-03-14 15:40:01.599 [main] INFO  calculator.Calculator - [RESULT - POWER] - 4.0
2021-03-14 15:40:01.599 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2021-03-14 15:40:01.599 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2021-03-14 15:40:01.600 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2021-03-14 15:40:01.600 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2021-03-14 15:40:01.600 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2021-03-14 15:40:01.600 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2021-03-14 15:40:01.601 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.4
2021-03-14 15:40:01.601 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2021-03-14 15:40:01.601 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.1
2021-03-14 15:40:01.601 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2021-03-14 15:40:01.602 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2021-03-14 15:40:01.602 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2021-03-14 15:40:01.602 [main] INFO  calculator.Calculator - [SQ ROOT] - 1.0
2021-03-14 15:40:01.603 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.0
